publication_type	publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	coverage_depth	coverage_notes	publisher_name	linking_issn
serial	ISRN Otolaryngology	2090-5742	2090-5750	2011	2011		2014	2014				container_6ejns7wunvc4lhwtmanih6ue7y	fulltext		Hindawi (International Scholarly Research Network)	2090-5742
serial	CRIS: Bulletin of the Centre for Research and Interdisciplinary Study	1805-5117	1805-5117	2013	2012		2016	2016				container_4ts4mqh4cngepkpegbddcupery	fulltext		De Gruyter Open Sp. z o.o.	1805-5109
serial	Revista Brasileira de Oceanografia	1413-7739	1413-7739	1996	44		2003	51				container_iw5satwbjbboxooo65nik6ueoy	fulltext		SciELO	1413-7739
serial	Journal of Neurodegenerative Diseases	2090-858X	2090-8601	2013	2013		2017	2017				container_hi76xfjvxza25fh27cnyjequ5m	fulltext		Hindawi Limited	2090-8601
serial	Software Networking	2445-9739		2016	2016		2018	2018				container_yoohj7lthbbwlm5t626owtauba	fulltext		River Publishers	2445-9739
serial	Jurnal Yudisial	1978-6506	2579-4868	2017	10		2022	15				container_tgh2xgfl5nfprpzvv42cvyikma	fulltext		Komisi Yudisial	1978-6506
serial	Journal of the Society of Telegraph-Engineers and Electricians	2050-5477	2054-0671	1883	12		1888	17				container_h22lbfgvlncoveibqgfd5xcmaq	fulltext		Institution of Electrical Engineers	2050-5477
serial	European Journal of Economic and Social Systems	1292-8895	1292-8909	1999	13		2001	15				container_zdx5333lnrdm7hrel4z6bie54m	fulltext		EDP Sciences	1292-8895
serial	Journal of Korean Gerontological Nursing	1229-5299	2383-8086	2014	16		2015	17				container_jj3l7um4jvhudlxvxclqw5cxde	fulltext		Korean Gerontological Nursing Society	1229-5299
serial	CNU Journal of Agricultural Science	1225-2220		2012	39		2015	42				container_cw5o45lnybatfafkwj2uba7vya	fulltext		CNU Journal of Agricultural Science	1225-2220
serial	Journal of Modeling and Optimization	1759-7676	1759-7676	2018	10		2021	13				container_fk7dkgs4prdyjgrvwlzv5sxiwq	fulltext		Tech Reviews Ltd	1759-7676
serial	Cellular & Molecular Medicine Open access		2573-5365	2015	1		2016	2				container_4r3gpvpgbfh6jcoqgqb2qjejjm	fulltext		Scitechnol Biosoft Pvt. Ltd	2573-5365
serial	ISRN Astronomy and Astrophysics	2090-4738	2090-4746	2011	2011		2014	2014				container_rsq5wnxzxzgzxmjj4v4urfqdne	fulltext		Hindawi (International Scholarly Research Network)	2090-4738
serial	The Journal of Korean Society of Menopause	1226-8704		2011	17		2013	19				container_cxebmj2sizd4dk6yc2dbsjwkfi	fulltext		The Korean Society of Menopause (KAMJE)	1226-8704
serial	Journal of Clinical and Molecular Endocrinology		2572-5432	2016	1		2018	3				container_kr6otixdzrbs7a7gmyb7e6rmpu	fulltext		Scitechnol Biosoft Pvt. Ltd	2572-5432
serial	Scientia	2519-5743	1993-422X	2020	21		2022	22				container_dltetc3bprhjnmkil4hk56hbtq	fulltext		Universidad Ricardo Palma	1993-422X
serial	Studia Methodologica	2307-1222		2019	48		2021	51				container_ghsckhlgovef7ekad2s6g7dvr4	fulltext		Ternopil Volodymyr Hnatiuk National Pedagogical University	2307-1222
serial	Engineering and Protection of Environment	1505-3695	2391-7253	2017	20		2019	22				container_ne24dt4pezckta2encnpecseoa	fulltext		Czestochowa University of Technology	1505-3695
serial	Journal of the Nigerian Optometric Association	0795-0039	0795-0039	2010	10		2021	23				container_t54dedmqhnakhdbb6sywfsrgeq	fulltext		African Journals Online	0795-0039
serial	Journal of Orthodontics & Endodontics		2469-2980	2016	2		2018	4				container_lkefvxca3besrksed4ji57aemu	fulltext		Scitechnol Biosoft Pvt. Ltd	2469-2980
serial	Joint Diseases and Related Surgery	1305-8282	1309-0313	2018	29		2019	30				container_xovvsd42tjaydertmzpza6ppha	fulltext		Baycinar Tibbi Yayincilik	1309-0313
serial	Synthesis and Catalysis Open Access		2574-0431	2016	1		2018	3				container_q53fdnw23zhhrkcfdpk6lreuwu	fulltext		Scitechnol Biosoft Pvt. Ltd	2574-0431
serial	Journal of Forensic Psychology		2475-319X	2017	2		2018	3				container_f3qjyunumjgjpdmdsikdpa36t4	fulltext		OMICS Publishing Group	2475-319X
serial	Journal of Clinical Gastroenterology and Hepatology		2575-7733	2017	1		2018	2				container_yj5pd7vaazap5fqduhvptly6bi	fulltext		Scitechnol Biosoft Pvt. Ltd	2575-7733
serial	La aljaba	0328-6169	1669-5704	2016	20		2019	23				container_jp5jfgdqtjbdvccfmgzrqvhrei	fulltext		Universidad Nacional del Comahue	0328-6169
serial	Sæculum	1221-2245	2601-1182	2019	47		2020	49				container_itbznvt2jrc2lck5z7c7zlsrn4	fulltext		Editura Universitatii LUCIAN BLAGA din Sibiu; CEEOL	1221-2245
serial	FEM Revista de la Fundación Educación Médica	2014-9832	2014-9840	2013	16		2014	17				container_54t2422o3vb37bmleynhkekd4a	fulltext		Instituto de Salud Carlos III/BNCS/SciELO Espana	2014-9832
serial	Journal of Korean Traditional Oncology	1229-2621		2014	19		2015	20				container_hlmynlbxpngkpnaaewc6tw4e6e	fulltext		Korean Academy of Traditional Oncology	1229-2621
serial	Acta archaeologica Lodziensia	0065-0986	2451-0300	2019	65		2022	68				container_62z74j6rvndtvlr6rtkppy2mcq	fulltext		Łódzkie Towarzystwo Naukowe, Stowarzyszenie	0065-0986
serial	Revista Brasileira de Ciências da Saúde - USCS	1678-054X	1678-054X	2012	10		2014	11				container_zr4jrax54ffcxiveuqztcfdlji	fulltext		USCS Universidade Municipal de Sao Caetano do Sul	1678-054X
serial	Ciencia e Investigación Agraria	0304-5609	0718-1620	2008	35		2017	44				container_h2oilnb6qvg4vedq6al6vyoh4u	fulltext		Pontificia Universidad Catolica de Chile	0304-5609
serial	Bone Marrow Research	2090-2999	2090-3006	2011	2011		2018	2018				container_rz5tpxmpyba4fdr3rsvlmftnda	fulltext		Hindawi Limited	2090-3006
serial	Cendekia. Media komunikasi penelitian dan pengembangan pendidikan islam	2086-0641	2685-046X	2018	10		2019	11				container_y3qo6xcvyra2lhyizgum7kaula	fulltext		Sekolah Tinggi Ilmu Tarbiyah Al Fattah Siman Lamongan	2086-0641
serial	Borneo Research Journal	1985-5443	2600-8645	2017	11		2019	13				container_aretk6anqncwzdrf5lnlxuwjve	fulltext		Univ. of Malaya	1985-5443
serial	Image Processing & Communications	1425-140X	1425-140X	2011	16		2018	23				container_mkgsh4q5cza45h2xvkjpdthele	fulltext		De Gruyter Open Sp. z o.o.	1425-140X
serial	ISRN Epidemiology		2090-942X	2013	2013		2014	2014				container_ndp5hae7cvcf5e5msb2xni3pja	fulltext		Hindawi (International Scholarly Research Network)	2090-942X
serial	Advances in Nursing	2356-6795	2314-7725	2014	2014		2016	2016				container_d62mmdnw7nhdhcxftq7awn5mg4	fulltext		Hindawi Limited	2314-7725
serial	SBA : Controle & Automação Sociedade Brasileira de Automatica	0103-1759	1807-0345	2003	14		2012	23				container_krodndzlo5gnlcjbebro2kle7q	fulltext		SciELO	0103-1759
serial	Pharmaceutical Analytical Chemistry Open Access		2471-2698	2015	1		2017	3				container_cz77xmzzp5f2tjex3v4f75vhn4	fulltext		OMICS Publishing Group	2471-2698
serial	European Journal of Service Management	2450-8535		2016	17		2018	28				container_ebrmxhynbnamvdvt7vbx2hmuxu	fulltext		University of Szczecin	2450-8535
serial	International Journal of Bilingual & Multilingual Teachers of English	2210-1829	2210-1829	2014	2		2016	4				container_znbpdu5albf4vds2fyqowmpf2i	fulltext		Deanship of Scientific Research	2210-1829
serial	Warta Pengabdian	1410-2161	2655-7509	2019	13		2021	15				container_v4klsdahy5g2rmxnqdkgfzmqpm	fulltext		UPT Penerbitan Universitas Jember	1410-2161
serial	Practice and Theory in Systems of Education	1788-2583	1788-2591	2015	10		2017	12				container_dmtk2dfervcbhm7owg6c4oczd4	fulltext		Walter de Gruyter GmbH	1788-2583
serial	Baltic Surveying		2255-999X	2020	12		2021	16				container_cz7m5ildjjcqdpeftkfrqxyzru	fulltext		Latvia University of Life Sciences and Technologies	2255-999X
serial	Revista de la Construcción	0717-7925	0718-915X	2010	10		2020	19				container_ldg7fho5ezccffyazpsuf5c7vm	fulltext		Pontificia Universidad Catolica de Chile	0717-7925
serial	Ugdymo psichologija	1392-639X	2351-6585	2014	25		2017	28				container_5nwmvv2g5zcbbji3lmrvcjaqxi	fulltext		Lithuanian University of Educational Sciences	1392-639X
serial	The Journal of Korean Medicine Ophthalmology and Otolaryngology and Dermatology	1738-6640		2012	25		2014	27				container_dsxoej265zfo3m3x4ixtbhv4l4	fulltext		The Korean Oriental Medical Opthalmology and Otolaryngology and Dermatology Society	1738-6640
serial	International Studies on Sparrows	1734-624X	1734-624X	2010	34		2022	44				container_bsxuy5w37rhf7l3iwwume6hx3q	fulltext		Walter de Gruyter GmbH	1734-624X
serial	Papers on Global Change IGBP	1730-802X	1730-802X	2010	17		2017	24				container_ceu6hgsoafh3jfqtc763ixfaza	fulltext		De Gruyter Open Sp. z o.o.	1730-802X
serial	Chemical Engineering Research Bulletin	0379-7678	2072-9510	2008	12		2020	21				container_jwewm6mk3fcebptal4aucga54y	fulltext		Bangladesh Journals Online	0379-7678
serial	Leukemia Research and Treatment	2090-3219	2090-3227	2011	2011		2017	2017				container_wnhpsbjhqretplzvhox3dgoynu	fulltext		Hindawi Limited	2090-3227
serial	Progress in Medical Physics	1226-5829	2288-9620	2013	24		2017	28				container_6bhqgjt23rfa5kbweb5p7o2jp4	fulltext		Korean Society of Medcial Physics (KAMJE)	1226-5829
serial	Open Transactions on Geosciences	2372-6458	2372-6466	2014	2014		2015	2015				container_3lppo64mkjhdrfq7wpxsiltmo4	fulltext		Scientific Online Publishing, Co., Ltd	2372-6458
serial	ISRN Hematology	2090-441X	2090-4428	2011	2011		2014	2014				container_f5tdtltnbfcdzp66eslzvrifme	fulltext		Hindawi (International Scholarly Research Network)	2090-441X
serial	Journal of Contraceptive Studies		2471-9749	2016	1		2018	3				container_d3ufb6djcngidjpcpzzx7ltcya	fulltext		Scitechnol Biosoft Pvt. Ltd	2471-9749
serial	Revista Economía	1390-6380		2018	66		2020	71				container_z53tt3glybcvxcmbnogfm6qv7a	fulltext		Facultad de Odontologia	1390-6380
serial	Tafhim Al-'Ilmi: jurnal pendidikan dan pemikiran Islam	2252-4924	2579-7182	2018	10		2023	14				container_esit4j22tbg3di2ui7yogqlmli	fulltext		STIT Aqidah Usymuni Sumenep	2252-4924
serial	Transactions of the Japan Society of Mechanical Engineers Series B	0387-5016	1884-8346	1998	64		2011	77				container_oohq3ak53bfnvkge5u7222xdgq	fulltext		J-STAGE	1884-8346
serial	JSME international journal Ser 3 Vibration control engineering engineering for industry	0914-8825		1988	31		1992	35				container_55l4edicibeahj2tfymjzdbuoq	fulltext		The Japan Society of Mechanical Engineers	0914-8825
serial	Spine Research		2471-8173	2015	1		2018	4				container_r4lqcad4xrdmjkq7uzgqkwf4y4	fulltext		Scitechnol Biosoft Pvt. Ltd	2471-8173
serial	Journal of Law and Governance		2206-088X	2015	10		2017	11				container_zx2jmh3nvvax3iu3gjqqf7rdeq	fulltext		Victoria University	2206-088X
serial	Jurnal Techno Nusa Mandiri	1978-2136	2527-676X	2019	16		2022	19				container_ssmwlquombbafj6qzvbaqlqrbu	fulltext		PPPM STMIK Nusa Mandiri	1978-2136
serial	Journal of Indo-Pacific Archaeology		2375-0510	2014	34		2019	43				container_p4jevnppybgpvmzjxdcz6avdjy	fulltext		University of Washington Libraries	2375-0510
serial	Korean Journal of Nosocomial Infection Control	1226-2382		2013	18		2016	21				container_x4gfreeuyjbgbgfy3mrsqztvem	fulltext		Korean Society for Nosocomial Infection Control (KAMJE)	1226-2382
serial	Open Journal of Water Pollution and Treatment	2374-6343	2374-6351	2014	2014		2015	2015				container_7ag6khzwajg43mvl5lifbnfnny	fulltext		Scientific Online Publishing, Co., Ltd	2374-6343
serial	International Journal of Molecular Imaging	2090-1712	2090-1720	2011	2011		2017	2017				container_5wux24snvzc7jkkf2piiuturau	fulltext		Hindawi Limited	2090-1720
serial	Journal of Neoplasm	2576-3903	2576-3903	2016	1		2018	3				container_6jm7bbdeorfplgp2xftyutjnwa	fulltext		Scitechnol Biosoft Pvt. Ltd	2576-3903
serial	Journal of Pharmaceutics	2090-9918	2090-7818	2013	2013		2020	2020				container_q24zrwpocrcxxhr7thsotgukc4	fulltext		Hindawi Limited	2090-9918
serial	HIV Current Research		2572-0805	2016	1		2017	2				container_ih6gzzyim5crhcxb5ymtfhos2y	fulltext		OMICS Publishing Group	2572-0805
serial	journal of Clinical & Experimental Orthopaedics		2471-8416	2015	1		2016	2				container_2cwsy2okarf57i4ky4oshikuwa	fulltext		OMICS Publishing Group	2471-8416
serial	Politikos mokslų almanachas	2029-0225	2335-7185	2013	13		2016	19				container_e4wrwkatlvcwhpnmoxwgqdb6xa	fulltext		Vytautas Magnus University	2029-0225
serial	Journal of Universal Surgery		2254-6758	2017	4		2018	6				container_5z253xhwmvh3pdgt6636p62hfa	fulltext		Scitechnol Biosoft Pvt. Ltd	2254-6758
serial	Economic Literature	2091-0789		2016	11		2017	12				container_wkuuns74s5dxrck6qs3hl7uzba	fulltext		Nepal Journals Online	2091-0789
serial	ISRN Algebra	2090-6285	2090-6293	2011	2011		2014	2014				container_atqvzaojcrglxolzfu25mq74he	fulltext		Hindawi (International Scholarly Research Network)	2090-6285
serial	Journal of Research Development in Nursing and Midwifery	1735-868X		2016	13		2017	14				container_2f3z42zte5ek7l24ui2g3ytxba	fulltext		Armenian Green Publishing Co	1735-868X
serial	Journal of Thrombosis and Circulation Open Access		2572-9462	2016	2		2017	3				container_tpg3jio3mzf4llicxw3wezktq4	fulltext		OMICS Publishing Group	2572-9462
serial	Informação & Sociedade: Estudos	0104-0146	1809-4783	2019	29		2021	31				container_sl5yyi7onrb5nfm7qfkkvju7iu	fulltext		Portal de Periodicos UFPB	0104-0146
serial	Journal of the Korean Institute of Gas	1226-8402		2011	15		2013	17				container_ke7szjkjzfgspin76g3rfema2i	fulltext		The Korean Institute of Gas	1226-8402
serial	ISRN Computational Mathematics		2090-7842	2012	2012		2014	2014				container_nhq4pcs3lnaexjhe5uiv3f55dy	fulltext		Hindawi (International Scholarly Research Network)	2090-7842
serial	Pogranicze Studia Społeczne	1230-2392		2011	17		2017	32				container_uejj6qoe65f6xemc7phkv4ma3q	fulltext		University of Bialystok	1230-2392
serial	Revista Argentina de de Cirugía Plástica Estética y Reparadora	0327-6945	2618-3625	2019	25		2020	26				container_vx55im7ab5cpzaa7jxyhi3gulu	fulltext		Publicaciones Latinoamericanas SRL	0327-6945
serial	EKSAKTA Berkala Ilmiah Bidang MIPA	1411-3724	2549-7464	2017	18		2022	23				container_nsg43rr7tnh5xfg3p4aksayfvu	fulltext		Universitas Negeri Padang (UNP)	1411-3724
serial	Insights in Chest Diseases		2577-0578	2016	1		2018	3				container_giixreweobe25iotiqxtxv22em	fulltext		Scitechnol Biosoft Pvt. Ltd	2577-0578
serial	Equilibrium: Jurnal Ekonomi-Manajemen-Akuntansi	1693-1378	2598-9952	2018	14		2021	17				container_3jhl5mekzrgwrjhixskimrrwfe	fulltext		Universitas Wijaya Kusuma Surabaya	1693-1378
serial	EUROPEAN RESEARCH	2410-2873		2016	13		2019	48				container_zxnmsr7hkbanrbwsehthlxov5m	fulltext		OLIMP	2410-2873
serial	Korean Journal of Hepato-Biliary-Pancreatic Surgery	1738-6349	2288-9213	2011	15		2016	20				container_kfv2mr5rnjfljge2zlk2p6t62e	fulltext		The Korean Association of Hepato-Biliary-Pancreatic Surgery (KAMJE)	1738-6349
serial	Journal of Epilepsy and Clinical Neurophysiology	1676-2649	1980-5365	2005	11		2012	18				container_szbyq22x25fefdbdxpdmorbpnm	fulltext		SciELO	1676-2649
serial	ISRN Condensed Matter Physics	2090-7397	2090-7400	2011	2011		2014	2014				container_5kr2e65axfhwzdivbowd4glbeu	fulltext		Hindawi (International Scholarly Research Network)	2090-7397
serial	Germanica Wratislaviensia	0435-5865		2017	141		2021	146				container_oqf6ptvwzfhipiuptxbjblypxa	fulltext		Wydawnictwo Uniwersytetu Wroclawskiego	0435-5865
serial	International Journal of Medicinal Chemistry	2090-2069	2090-2077	2011	2011		2019	2019				container_yq7zmcur7fcfnbs2bstgun4hb4	fulltext		Hindawi Limited	2090-2077
serial	Advanced Computational Techniques in Electromagnetics		2194-0266	2012	2012		2017	2017				container_f32ryefbv5es3atd3xw3o6cvgy	fulltext		ISPACS GmbH	2194-0266
serial	Journal of The Indonesian Society of Integrated Chemistry	2085-1715	2621-5543	2019	11		2022	14				container_jucwzd22s5cdnkuhqmsghxx5jq	fulltext		Faculty of Education and Teacher Training, Jambi University	2085-1715
serial	Tradicija ir dabartis	2029-3208	2029-3208	2015	10		2018	13				container_fwkcdnfcsfgyhe5bcnvnsarud4	fulltext		Klaipeda University Press	2029-3208
serial	Fundamental and Applied Soil Science	2310-4341	1684-9094	2016	17		2019	19				container_pyhzzwjenzgxjbrr5wcud3ipyu	fulltext		Oles Honchar Dnipropetrovsk National University	1684-9094
serial	ISRN Discrete Mathematics		2090-7788	2011	2011		2014	2014				container_uaexvpib2jd2lfsbu2xbwuv6ai	fulltext		Hindawi Limited	2090-7788
serial	Eko dan Bisnis: Riau Economic and Business Review	1410-7988	2614-123X	2019	10		2020	11				container_6fzigfgogbcntozspovbhslmey	fulltext		Sekolah Tinggi Ilmu Ekonomi Riau	1410-7988
serial	Jurnal Teknotan	1978-1067	2528-6285	2017	11		2021	15				container_kdjftohv7bbklhryrpctuni5xm	fulltext		Universitas Padjadjaran	1978-1067
serial	ISRN Materials Science	2090-6080	2090-6099	2011	2011		2014	2014				container_ifxmtast25bu5otuoelkcmayv4	fulltext		Hindawi (International Scholarly Research Network)	2090-6080
serial	ISRN Dermatology	2090-4592	2090-4606	2011	2011		2014	2014				container_pijq37k2ubf7fhy6pymytaejta	fulltext		Hindawi (International Scholarly Research Network)	2090-4592
serial	GEMA TEKNOLOGI	0852-0232	2656-582X	2020	20		2021	21				container_yttympfvnbagtax2v54hvt37ji	fulltext		Institute of Research and Community Services Diponegoro University (LPPM UNDIP)	0852-0232
serial	Primanomics Jurnal Ekonomi & Bisnis	1412-632X	2614-6789	2018	16		2022	20				container_jglefddzpvcsxnqdxcu327eiq4	fulltext		Universitas Buddhi Dharma	1412-632X
serial	Studia o Książce i Informacji (dawniej: Bibliotekoznawstwo)	2300-7729		2017	35		2019	37				container_xmrlnz2wp5gkxab7mqxyyk74ba	fulltext		Wydawnictwo Uniwersytetu Wroclawskiego	2300-7729
serial	Scientific Journal of Hamadan Nursing & Midwifery Faculty	2008-2800	2008-2819	2016	24		2019	26				container_fjzm3y35fzexzfxvwrbfmo4ji4	fulltext		Farname, Inc	2008-2819
serial	International Journal of Carbohydrate Chemistry	1687-9341	1687-935X	2009	2009		2016	2016				container_figmewx4prdbthr7f3wysbswpu	fulltext		Hindawi Limited	1687-9341
serial	Technological Engineering	1336-5967	2451-3156	2012	10		2016	13				container_uox4htykhfbcnebwv66yt7qpym	fulltext		De Gruyter Open Sp. z o.o.	1336-5967
serial	International Journal of Proteomics	2090-2166	2090-2174	2010	2010		2016	2016				container_uzojk7p2kbhxnhqrrphigusdpm	fulltext		Hindawi Limited	2090-2166
serial	ISRN Meteorology	2090-7516	2090-7524	2012	2012		2013	2013				container_ams6kbavczh2ji5swklzbitlva	fulltext		Hindawi (International Scholarly Research Network)	2090-7516
serial	Jurnal Ilmiah Syi ar	1693-2714	2685-2934	2019	19		2021	20				container_jhjviblxpnc7ln5evdzxvdwioi	fulltext		Institut Agama Islam Negeri (IAIN) Bengkulu	1693-2714
serial	Heart, lung and vessels	2282-8419	2283-3420	2013	5		2014	6				container_m6prwdsdu5gytlwrkulzqow2ve	fulltext			2282-8419
serial	International Journal of Family Medicine	2090-2042	2090-2050	2010	2010		2017	2017				container_fm6dbb3mnzagdhq4hd4elnnheq	fulltext		Hindawi Limited	2090-2050
serial	AKSES: Jurnal Ekonomi dan Bisnis	1907-4433	2613-9170	2015	13		2021	16				container_6dsnxgevr5awha4fx6b4kdoshm	fulltext		Universitas Wahid Hasyim Semerang	1907-4433
serial	JSME international journal Ser 2 Fluids engineering heat transfer power combustion thermophysical properties	0914-8817		1988	31		1992	35				container_npuyobm4lrashdqbqs6qbfnrjq	fulltext		The Japan Society of Mechanical Engineers	0914-8817
serial	ISRN Geometry	2090-6307	2090-6315	2011	2011		2014	2014				container_wuxdzwaylbduzpablumg5qspom	fulltext		Hindawi (International Scholarly Research Network)	2090-6307
serial	Psicologia Clínica	0103-5665	1980-5438	2005	17		2015	27				container_zevp2cqmfzekzhjil3i3rfpaje	fulltext		Revista Psicologia Clinica	0103-5665
serial	Pedagogia em Foco	1808-1576	2178-3039	2017	12		2019	14				container_hinao35tdzf75nuqrfgmokuigm	fulltext		Faculdade Aldete Maria Alves	1808-1576
serial	The Journal of the Korean Society for Transplantation	1598-1711	2508-2604	2009	23		2019	33				container_n3zsvd4f4vcwpnkhwmutftxrii	fulltext		The Korean Society for Transplantation (KAMJE)	1598-1711
serial	Journal of Applied Microbiology and Biochemistry		2576-1412	2017	1		2018	2				container_uxzqlheanva7deku46lw6gwmsq	fulltext		Scitechnol Biosoft Pvt. Ltd	2576-1412
serial	Senjski zbornik	0582-673X	1849-0999	2020	46		2022	49				container_cy2t66dm5fgg5fk7dtcdslb24u	fulltext		Senjsko muzejsko drustvo	0582-673X
serial	Apex	0113-2989	2324-1284	2009	15		2015	19				container_lzrzglgywvge7anmi3xb7xgmvq	fulltext		Exeley, Inc	0113-2989
serial	Jurnal Ilmiah Kebijakan Hukum	1978-2292	2579-7425	2018	12		2022	16				container_si2qn57m2zgrdn4tjv5wgnjfoa	fulltext		Badan Penelitian dan Pengembangan Hukum dan HAM	1978-2292
serial	Iranian Journal of Applied Linguistics	1735-1634	1735-1634	2015	18		2017	20				container_tjv63kkgyjeezbftksvvvqt23y	fulltext		Armenian Green Publishing Co	1735-1634
serial	Journal of Animal Research and Nutrition		2572-5459	2016	1		2018	3				container_n3apmosgxrfmnb2qwaslwoqrmm	fulltext		Scitechnol Biosoft Pvt. Ltd	2572-5459
serial	Cadernos do IME - Série Informática	1413-9014	2317-2193	2009	27		2021	45				container_xblp6356jrhtpinggqbo6ycvpy	fulltext		Universidade do Estado do Rio de Janeiro UERJ	1413-9014
serial	Ekonomi bisnis	0853-7283	2528-0503	2018	23		2020	25				container_uazkectkureo5mk6n3546g2nzm	fulltext		State University of Malang (UM)	0853-7283
serial	Magyar urológia	0864-8921	0864-8921	2016	28		2018	30				container_qbpwsyzmerhpbjnj4372h7z3b4	fulltext		Magyar Urologia	0864-8921
serial	Anvil	0969-7373	0969-7373	2013	29		2015	31				container_y7vymaw7s5eunlrjsd753kwbda	fulltext		De Gruyter Open Sp. z o.o.	0969-7373
serial	The Illustrated Magazine of Art	2150-5837		1853	1		1854	4				container_z2rlaot22bhfzag4k6vvop6htu	fulltext		JSTOR	2150-5837
serial	Journal of Preventive Medicine		2572-5483	2016	1		2018	3				container_v5fwzbeh4va3jjssxqncrusdwu	fulltext		Scitechnol Biosoft Pvt. Ltd	2572-5483
serial	Journal of the Korean Society of School Health	1225-9608	2288-9957	2015	28		2017	30				container_4en67yhc4fgubkflf5ujilgzjq	fulltext		The Korean Society of School Health	1225-9608
serial	Ulster Journal of Archaeology	0082-7355		1853	1		1861	9				container_4gcp3wovyremrgch5pri63bd4q	fulltext		Ulster Archaeological Society; JSTOR	0082-7355
serial	Res Cogitans		2155-4838	2013	4		2019	10				container_ce5edqijsjhatkued3gagcvib4	fulltext		Pacific University Library	2155-4838
serial	Chemotherapy Research and Practice	2090-2107	2090-2115	2010	2010		2019	2019				container_qkcoh5n7hfc6rogpo7n5p5fhzm	fulltext		Hindawi Limited	2090-2107
serial	Epilepsy Research and Treatment	2090-1348	2090-1356	2010	2010		2017	2017				container_weds2d2gazeb7h2id5eyb5tajm	fulltext		Hindawi Limited	2090-1348
serial	Sessions d étude - Société canadienne d histoire de l Église catholique	0318-6172	1927-7067	1966	33		1989	56				container_rcp5vc4zandtre5vvvakagqpt4	fulltext		Consortium Erudit	0318-6172
serial	Scientific Journal of Riga Technical University Computer Sciences	1407-7493		2009	38		2011	45				container_4df43wormnfylebcv5pzrwq5ke	fulltext		De Gruyter Open Sp. z o.o.	1407-7493
serial	Journal of Milk Science and Biotechnology	2384-0269	2508-3635	2017	35		2019	37				container_xtrmwl2rm5hkpephdltx6xeaie	fulltext		Korean Society of Milk Science and Biotechnology	2384-0269
serial	Journal of Pediatric Care		2471-805X	2015	1		2016	2				container_knevpkn3ffbargmydzf2dwxasq	fulltext		Scitechnol Biosoft Pvt. Ltd	2471-805X
serial	RUDN Journal of Language Education and Translingual Practices	2312-8011		2017	14		2018	15				container_cjybcrn6fnggrijzdiby2fhgzi	fulltext		Peoples' Friendship University of Russia	2312-8011
serial	KINERJA	1907-3011	2528-1127	2018	14		2021	18				container_ie23lf3akrcxtaitpwem3wrwya	fulltext		Faculty of Economics and Business, Mulawarman University	1907-3011
serial	JURNAL AL-IQTISHAD	0216-2547	2656-8489	2020	15		2021	17				container_plqegl7wkne3jl27swzrz5f5mm	fulltext		Universitas Islam Negeri Sultan Syarif Kasim Riau	0216-2547
serial	Journal of Empirical Research in Accounting and Auditing An International Journal	2384-4787		2015	1		2018	4				container_7fmpbcdacbbxba5yt7f2346hdq	fulltext		Deanship of Scientific Research	2384-4787
serial	São Paulo em Perspectiva	0102-8839	0102-8839	1999	13		2005	19				container_uy3dkivmsndj5icddxyefxskuy	fulltext		SciELO	0102-8839
