publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	oclc_number
Abstracts and Reviews in Behavioral Biology	0091-0856		1968-01	1	1	1971-12	8	6	https://archive.org/details/pub_abstracts-and-reviews-in-behavioral-biology		pub_abstracts-and-reviews-in-behavioral-biology		fulltext		National Educational Consultants	serial								F	
Abstracts in New Technologies and Engineering	1367-9899		1962-01			1993-11	13	6	https://archive.org/details/pub_abstracts-in-new-technologies-and-engineering		pub_abstracts-in-new-technologies-and-engineering		fulltext		ProQuest	serial								F	
Abstracts of Chemical Papers. A, Pure chemistry 1924-1925	2050-5558		1924-01	126	2	1925-01	128	2	https://archive.org/details/pub_abstracts-of-chemical-papers-a-pure-chemistry		pub_abstracts-of-chemical-papers-a-pure-chemistry		fulltext		Bureau of Chemical Abstracts	serial								F	1064421245
Abstracts of Declassified Documents 1947-1948			1947-07	1	1-12	1948-01	2	1-12	https://archive.org/details/pub_abstracts-of-declassified-documents		pub_abstracts-of-declassified-documents		fulltext		Superintendent of Government Documents	serial								F	637531275
Abstracts of English Studies 1958-1991	0001-3560		1958-01	1	1	1991-12	34	4	https://archive.org/details/pub_abstracts-of-english-studies		pub_abstracts-of-english-studies		fulltext		John Wiley & Sons, Inc.	serial								F	1460584
Abstracts of Folklore Studies 1963-1975	0001-3587		1963-01	1	1	1975-12	13	4	https://archive.org/details/pub_abstracts-of-folklore-studies		pub_abstracts-of-folklore-studies		fulltext		American Folklore Society	serial								F	1460586
Abstracts of Health Care Management Studies 1965-1987	0194-4908		1965-06	1		1987-05	23		https://archive.org/details/pub_abstracts-of-health-care-management-studies		pub_abstracts-of-health-care-management-studies		fulltext		Health Administration Press	serial								F	4274266
Abstracts of North American Geology 1966-1971	0001-3625		1966-01			1971-12			https://archive.org/details/pub_abstracts-of-north-american-geology		pub_abstracts-of-north-american-geology		fulltext		Superintendent of Government Documents	serial								F	741850148
Abstracts of Papers Presented to the American Mathematical Society 1980-2004	0192-5857		1980-01	1	1	2004-01	25	138	https://archive.org/details/pub_abstracts-of-papers-american-mathematical-society		pub_abstracts-of-papers-american-mathematical-society		fulltext		American Mathematical Society	serial								F	5149137
Abstracts of Papers - International Congress of Plant Pathology			1973-09			1983-08			https://archive.org/details/pub_abstracts-of-papers-int-congress-of-plant-pathology		pub_abstracts-of-papers-int-congress-of-plant-pathology		fulltext		International Society for Plant Pathology	serial								F	29651772
Abstracts of Photographic Science and Engineering Literature 1962-1972	0001-3633		1962-03	1	1-2	1972-12	11	12	https://archive.org/details/pub_abstracts-of-photographic-science-and-engineering		pub_abstracts-of-photographic-science-and-engineering		fulltext		Society of Imaging Science and	serial								F	1719182
Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London			1800-01	4	30	1843-01	4	57	https://archive.org/details/pub_abstracts-of-the-papers-printed-in-the-philosophical-transactions-of-the-royal-society-of-london		pub_abstracts-of-the-papers-printed-in-the-philosophical-transactions-of-the-royal-society-of-london		fulltext			serial								F	
Abstracts of Working Papers in Economics 1991-1995	0951-0079		1991-01	7	1	1995-01	12	4	https://archive.org/details/pub_abstracts-of-working-papers-in-economics		pub_abstracts-of-working-papers-in-economics		fulltext		Cambridge University Press	serial								F	15459912
Abstracts of World Medicine 1947-1971	0301-3898		1947-01	1	1	1971-12	45	12	https://archive.org/details/pub_abstracts-of-world-medicine		pub_abstracts-of-world-medicine		fulltext		BMJ Publishing Group	serial								F	995230497
Abstracts on Hygiene and Communicable Diseases 1976-1989	0260-5511		1922-03		Supplement 1	1989-12	64	12	https://archive.org/details/pub_abstracts-on-hygiene-and-communicable-diseases		pub_abstracts-on-hygiene-and-communicable-diseases		fulltext		CAB International	serial								F	7140771
ABU News	0127-4902		1971-02		70	1976-03		121	https://archive.org/details/pub_abu-news		pub_abu-news		fulltext		Asia-Pacific Broadcasting Union	serial								F	497805615
Abundant Life Magazine 1975-1979	0731-7948		1975-01	29	1	1979-12	33	12	https://archive.org/details/pub_abundant-life-magazine		pub_abundant-life-magazine		fulltext		Oral Roberts Association, Inc.	serial								F	1776787
Academe 1915-2014	0190-2946		1915-12	1	1	2014-11	100	6	https://archive.org/details/pub_academe		pub_academe		fulltext		American Association of University Professors	serial								F	4688683
Academe 1967-1978	0001-3749		1967-01	1	1	1978-12	12	4	https://archive.org/details/pub_academe-1967		pub_academe-1967		fulltext		American Association of University Professors	serial								F	869266214
Academia de Stiinte a Republicii Moldova. Revista Filosofie si Drept			1970-01		1	1977-01		2	https://archive.org/details/pub_academia-de-stiinte-a-republicii-moldova-revista-filosofie-si-drept		pub_academia-de-stiinte-a-republicii-moldova-revista-filosofie-si-drept		fulltext		Academia de Stiinte a Moldovej 01_serials-process.sh 1039816.IAILL.20220526.mrc 1039816.IAILL.20220526_all.mrc 1039816.IAILL.20220612.mrc 5gaps.txt ALL_20211205.jsonl ALL_20220116.jsonl ALL_20220128.jsonl ALL_20220217.jsonl ALL_20220221.jsonl ALL_20220301.jsonl ALL_20220307.jsonl ALL_20220320.jsonl ALL_20220418.jsonl ALL_20220510.jsonl ALL_20220516.jsonl ALL_20220526.jsonl ALL_20220612.jsonl ALL_20230727.jsonl ALL_20230824.jsonl ALL_20231115.jsonl ALL_20231115.jsonl.bak ALL_20240507.jsonl ALL_20240712.jsonl ALL_20250122.jsonl ALL_20250731.jsonl BOSTON_SCAN.tmp.jsonl GTU-OCLCs.tsv IA_Serials_20220510_test0001.mrc IA_Serials_20220510_test0002.mrc IA_Serials_20220516_test0001.mrc InternetArchive_Global_Serials_20230727.txt InternetArchive_Global_Serials_20230824.txt InternetArchive_Global_Serials_20231115.txt InternetArchive_Global_Serials_20231115.txt.bak InternetArchive_Global_Serials_20240507.txt InternetArchive_Global_Serials_20240712.txt InternetArchive_Global_Serials_20250122.txt InternetArchive_Serials_20211205.txt InternetArchive_Serials_20220116.txt InternetArchive_Serials_20220128.txt InternetArchive_Serials_20220217.txt InternetArchive_Serials_20220221.txt InternetArchive_Serials_20220301.txt InternetArchive_Serials_20220307.txt InternetArchive_Serials_20220320.txt InternetArchive_Serials_20220418.txt InternetArchive_Serials_20220510.txt InternetArchive_Serials_20220516.txt InternetArchive_Serials_20220526.txt InternetArchive_Serials_20220612.txt InternetArchive_Serials_KBART_20240712.zip InternetArchive_Serials_KBART_20250122.zip OCLC-record-matching-map.tsv OCN-already-present.tsv UHM-OCLCs-Sheet1.tsv allOCNs_20220127.tsv batch-check.sh check-these.tsv check-these_CHECKED_001.tsv check607.log check707.log check807.log check907.log count-identifers.sh exclude.lst gapcheck.py generate-serial-input.sh get-issues.sh homeideas.lst issn-wo-ocn.lst issn-wo-ocn.tsv last-issue-pre1950.tsv last-ocn-notmatch.tsv lhrgen.py multis-to-check.lst nogapcheck.log nogapcheck2.log nohup.out ocn-check.py ocn-remove-remaining.tsv ocn-to-remove.tsv serials_20211205.jsonl serials_20220116.jsonl serials_20220127_ORIG.jsonl serials_20220128.jsonl serials_20220217.jsonl serials_20220221.jsonl serials_20220301.jsonl serials_20220307.jsonl serials_20220320.jsonl serials_20220418.jsonl serials_20220510.jsonl serials_20220516.jsonl serials_20220526.jsonl serials_20220612.jsonl serials_20230727.jsonl serials_20230824.jsonl serials_20231115.jsonl serials_20240507.jsonl serials_20240712.jsonl serials_20250122.jsonl serials_20250731.jsonl setOCN.py test.tsv to-clean.lst wcat work Biblioteca Stiintifica Centrala	serial								F	
Academic Emergency Medicine 1994-2007	1069-6563		1994-01	1	1	2007-12	14	12	https://archive.org/details/pub_academic-emergency-medicine		pub_academic-emergency-medicine		fulltext		Wiley Subscription Services, Inc.	serial								F	909876819
Academic Medicine 1926-2013	1040-2446		1926-07	1	1	2013-12	88	12	https://archive.org/details/pub_academic-medicine		pub_academic-medicine		fulltext		Lippincott Williams & Wilkins	serial								F	18356569
Academic Psychiatry 1977-2010	1042-9670		1977-03	1	1	2010-11	34	6	https://archive.org/details/pub_academic-psychiatry		pub_academic-psychiatry		fulltext		American Psychiatric Publishing, Inc.	serial								F	19260322
Academic Questions 1987-2005	0895-4852		1986-12	1	1	2006-09	19	4	https://archive.org/details/pub_academic-questions		pub_academic-questions		fulltext		Springer Science & Business Media	serial								F	16657327
Academician 1818-1820			1818-02	1	1	1820-01	1	25	https://archive.org/details/pub_academician		pub_academician		fulltext		Open Court Publishing Co	serial								F	
Academie Des Inscriptions et Belles Lettres, Paris. Recueil Des Historiens Des Gaules et de la France 1840-1904			1840-01	20		1904-01	24	Part 2	https://archive.org/details/pub_academie-des-inscriptions-et-belles-lettres-paris		pub_academie-des-inscriptions-et-belles-lettres-paris		fulltext		Out-of-copyright	serial								F	
Academie des Sciences			1795-01	1	4-7	1982-01			https://archive.org/details/pub_academie-des-sciences		pub_academie-des-sciences		fulltext			serial								F	
Academie des Sciences. Comptes Rendus. Biologies	1631-0691		1966-01	262	1	1983-12	297	13	https://archive.org/details/pub_academie-des-sciences-comptes-rendus-biologies		pub_academie-des-sciences-comptes-rendus-biologies		fulltext		Elsevier Masson	serial								F	
Academie des Sciences. Comptes Rendus. Mathematique	1631-073X		1966-01	262	1	1996-10		17	https://archive.org/details/pub_academie-des-sciences-comptes-rendus-mathematique		pub_academie-des-sciences-comptes-rendus-mathematique		fulltext		Academie des Sciences	serial								F	
The Academy and Literature 1869-1916			1869-10	1	1	1916-09	90	2270	https://archive.org/details/pub_academy-and-literature		pub_academy-and-literature		fulltext		Open Court Publishing Co	serial								F	
Academy Architecture and Architectural Review 1889-1931			1889-01	1		1931-01	62		https://archive.org/details/pub_academy-architecture-and-architectural-review		pub_academy-architecture-and-architectural-review		fulltext		Academy of Architecture and	serial								F	
Academy of Management. Best Papers Proceedings 1948-1997	0896-7911		1948-12			1997-08			https://archive.org/details/pub_academy-of-management-best-papers-proceedings		pub_academy-of-management-best-papers-proceedings		fulltext		Academy of Management	serial								F	14260922
Academy of Management Journal 1958-2016	0001-4273		1958-04	1	1	2014-12	57	6	https://archive.org/details/pub_academy-of-management-journal		pub_academy-of-management-journal		fulltext		Academy of Management	serial								F	1460711
The Academy of Management Perspectives 1987-2012	1558-9080		1987-02	1	1	2012-11	26	4	https://archive.org/details/pub_academy-of-management-perspectives		pub_academy-of-management-perspectives		fulltext		Academy of Management	serial								F	62270488
Academy of Management. The Academy of Management Review 1976-2015	0363-7425		1995-01	20	1	2014-10	39	4	https://archive.org/details/pub_academy-of-management-review		pub_academy-of-management-review		fulltext		Academy of Management	serial								F	2060965
Academy of Marketing Science. Journal 1973-2014	0092-0703		1973-03	1	1	2012-11	40	6	https://archive.org/details/pub_academy-of-marketing-science-journal		pub_academy-of-marketing-science-journal		fulltext		Springer Science & Business Media	serial								F	1039227065
Academy of Political Science. Proceedings of the Academy of Political Science 1910-1992	0065-0684		1910-01	1		1991-01	38	2	https://archive.org/details/pub_academy-of-political-science-proceedings		pub_academy-of-political-science-proceedings		fulltext		Academy of Political Science	serial								F	1201232313
Acarologia	0044-586X		1959-01	1	1	1999-01	40	3	https://archive.org/details/pub_acarologia		pub_acarologia		fulltext		Acarologia	serial								F	
Accademia delle Scienze Fisiche e Matematiche. Rendiconto	0370-3568		1931-01	1	1-4	1969-01	36		https://archive.org/details/pub_accademia-delle-scienze-fisiche-e-matematiche-rendiconto		pub_accademia-delle-scienze-fisiche-e-matematiche-rendiconto		fulltext		Giannini Editore	serial								F	
Accademie e Biblioteche d'Italia 1927-2009	0001-4451		1927-07	1	1	2009-01	NS4	1-4	https://archive.org/details/pub_accademie-e-biblioteche-ditalia		pub_accademie-e-biblioteche-ditalia		fulltext		Arti Grafiche Fratelli Palomei	serial								F	956159678
Accent 1976-1996	0192-7507		1976-01		1	1996-12	21	12	https://archive.org/details/pub_accent		pub_accent		fulltext		Larkin Group	serial								F	18367062
Accent : a quarterly of new literature	1050-6276		1946-09	7	1	1949-12	9	2	https://archive.org/details/pub_accent-1940		pub_accent-1940		fulltext		Dept. of English of the University of Illinois	serial								F	
Accent on Living 1956-2002	0001-4508		1956-06	1	1	2001-06	46	1	https://archive.org/details/pub_accent-on-living		pub_accent-on-living		fulltext		Cheever Publishing Inc.	serial								F	5332296
Access 1975-1985	0149-9262		1975-01		1	1985-06		182	https://archive.org/details/pub_access		pub_access		fulltext		Telecommunications Research	serial								F	2250216
Access Control & Security Systems 1958-1980	1084-6425		1958-07	1	1	1980-12	23	13	https://archive.org/details/pub_access-control-security-systems		pub_access-control-security-systems		fulltext		Penton Business Media, Inc.	serial								F	60638648
Accident Analysis and Prevention 1969-2010	0001-4575		1969-07	1	1	2008-11	40	6	https://archive.org/details/pub_accident-analysis-and-prevention		pub_accident-analysis-and-prevention		fulltext		ELSEVIER LTD.	serial								F	1131911951
Accountancy 1928-2013	0001-4664		1923-10	35		2013-12	151	1444	https://archive.org/details/pub_accountancy		pub_accountancy		fulltext		The Financial Times Limited	serial								F	1460778
Accountancy Age 1975-1989	0001-4672		1975-01	6	1	1989-12			https://archive.org/details/pub_accountancy-age		pub_accountancy-age		fulltext		Contentive	serial								F	3319285
Accountancy Ireland 1975-2003	0001-4699		1975-02	7	1	2003-12	35	6	https://archive.org/details/pub_accountancy-ireland		pub_accountancy-ireland		fulltext		Institute of Chartered Accountants In Ireland	serial								F	5783408
Accountant 1975-2010	0001-4710		1975-01	172	5218	2010-12		5085	https://archive.org/details/pub_accountant		pub_accountant		fulltext		Lafferty Ltd.	serial								F	2444302
The Accountants Digest 1973-1988	0001-4737		1956-09	22	1	1988-09	54	1	https://archive.org/details/pub_accountants-digest		pub_accountants-digest		fulltext		Florida Atlantic University	serial								F	1460783
Accounting and Business Research 1970-2012	0001-4788		1970-01	1	1	2012-01	42	5	https://archive.org/details/pub_accounting-and-business-research		pub_accounting-and-business-research		fulltext		Taylor & Francis Ltd.	serial								F	1460787
Accounting and Finance 1986-2014	0810-5391		1986-05	26	1	2014-12	54	4	https://archive.org/details/pub_accounting-and-finance		pub_accounting-and-finance		fulltext		Blackwell Publishing Ltd.	serial								F	6483230
Accounting Forum 1974-1985	0001-4818		1974-05	44	1-2	1985-12	55		https://archive.org/details/pub_accounting-forum		pub_accounting-forum		fulltext		City University of New York	serial								F	2937041
The Accounting Historians Journal 1991-2008	0148-4184		1991-06	18	1	2008-12	35	2	https://archive.org/details/pub_accounting-historians-journal		pub_accounting-historians-journal		fulltext		Academy of Accounting Historians	serial								F	3228548
Accounting Horizons 1987-2013	0888-7993		1987-03	1	1	2012-12	27	4	https://archive.org/details/pub_accounting-horizons		pub_accounting-horizons		fulltext		American Accounting Association	serial								F	13721422
Accounting Office Management & Administration Report 2005-2006	0749-2928		2005-01		05-1	2006-12		06-12	https://archive.org/details/pub_accounting-office-management-administration-report		pub_accounting-office-management-administration-report		fulltext		Institute of Management & Administration	serial								F	302290250
