publication_type	publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	coverage_depth	coverage_notes	publisher_name	linking_issn
serial	Abacus 1965-2013	0001-3072		1965-09	1	1	2013-12	49	4			pub_abacus	fulltext		Blackwell Publishing Ltd.	0001-3072
serial	Abdominal Imaging 1993-1999	0942-8925		1993-01	18	1	1999-11	24	6			pub_abdominal-imaging	fulltext		Springer Science & Business Media	0942-8925
serial	Abendpost & Sonntagpost 1889-1979	0896-3762		1889-09		1	1979-12	91	52			pub_abendpost-sonntagpost	fulltext		Tribune International Corp	0896-3762
serial	Aberdeen-Angus Journal 1919-1979	0001-3161		1919-01	50	SUPPLEMENT	1979-06	60	11			pub_aberdeen-angus-journal	fulltext		American Angus Association	0001-3161
serial	Abhandlungen der Deutschen Akademie der Wissenschaften zu Berlin. Klasse für Mathematik, Physik und Technik.	0065-5112		1945-01		1	1968-01		1			pub_abhandlungen-awb-mathematik-physik-technik	fulltext		Akademie-Verlag Berlin	0065-5112
serial	Abhandlungen der Deutschen Akademie der Wissenschaften zu Berlin. Klasse für Sprachen, Literatur und Kunst	0011-9733		1966-01		3	1973-01	64	3			pub_abhandlungen-awb-sprachen-literatur-kunst	fulltext		Akademie-Verlag	0011-9733
serial	Abhandlungen zur Philosophie, Psychologie und Paedagogik	0065-0366		1983-01			1984-01					pub_abhandlungen-zur-philosophie-psychologie-und-paedagogik	fulltext		Bouvier Verlag	0065-0366
serial	ABNF Journal 2001-2011	1046-7041		2001-01	12	1	2011-12	22	1			pub_abnf-journal	fulltext		Tucker Publications, Inc.	1046-7041
serial	About Campus 2001	1086-4822		2001-03	6	1	2002-01	6	6			pub_about-campus	fulltext		Wiley Subscription Services, Inc.	1086-4822
serial	About the House 1962-1992	0001-3242		1962-11	1	1	1992-06	8	11			pub_about-the-house	fulltext		Friends Of Covent Garden Ltd	0001-3242
serial	Abrasive Engineering 1955-1974	0001-3277		1955-03	1	1	1974-11	20	6			pub_abrasive-engineering	fulltext		Reed Business Information US	0001-3277
serial	Abridged Index Medicus 1973-1997	0001-3331		1973-01	4	1	1997-12	28	12			pub_abridged-index-medicus	fulltext		Superintendent of Government Documents	0001-3331
serial	ABSEES: Soviet and East European Abstracts Series 1987-1990	0044-5622		1964-01		1	1990-01	20	Index			pub_absees-soviet-and-east-european-abstracts-series	fulltext		ELSEVIER LTD.	0044-5622
serial	Abside 1949-1978	0001-3382		1949-01	13	1	1978-10	42	4			pub_abside	fulltext		Abside	0001-3382
serial	Abstracts of Mycology	0001-3617		1967-01	1	1	2004-08	38	8			pub_abstract-of-mycology	fulltext		Thomson BIOSIS	0001-3617
serial	Royal Society of London. Proceedings	0370-1662		1843-01	5	58	1850-01	5	76			pub_abstract-of-the-papers-communicated-to-the-royal-society-of-london	fulltext		Royal Society	0370-1662
serial	Abstract Service	0362-059X		1971-09		12	1976-09		63			pub_abstract-service	fulltext		Institute on the Church in Urban-Industrial Society	0362-059X
serial	Abstracts and Reviews in Behavioral Biology	0091-0856		1968-01	1	1	1971-12	8	6			pub_abstracts-and-reviews-in-behavioral-biology	fulltext		National Educational Consultants	0091-0856
serial	Abstracts in New Technologies and Engineering	1367-9899		1962-01			1993-11	13	6			pub_abstracts-in-new-technologies-and-engineering	fulltext		ProQuest	1367-8426
serial	Abstracts of Chemical Papers. A, Pure chemistry 1924-1925	2050-5558		1924-01	126	2	1925-01	128	2			pub_abstracts-of-chemical-papers-a-pure-chemistry	fulltext		Bureau of Chemical Abstracts	2050-5566
serial	Abstracts of English Studies 1958-1991	0001-3560		1958-01	1	1	1991-12	34	4			pub_abstracts-of-english-studies	fulltext		John Wiley & Sons, Inc.	0001-3560
serial	Abstracts of Folklore Studies 1963-1975	0001-3587		1963-01	1	1	1975-12	13	4			pub_abstracts-of-folklore-studies	fulltext		American Folklore Society	0001-3587
serial	Abstracts of Health Care Management Studies 1965-1987	0194-4908		1965-06	1		1987-05	23				pub_abstracts-of-health-care-management-studies	fulltext		Health Administration Press	0194-4908
serial	Abstracts of North American Geology 1966-1971	0001-3625		1966-01			1971-12					pub_abstracts-of-north-american-geology	fulltext		Superintendent of Government Documents	0001-3625
serial	Abstracts of Papers Presented to the American Mathematical Society 1980-2004	0192-5857		1980-01	1	1	2004-01	25	138			pub_abstracts-of-papers-american-mathematical-society	fulltext		American Mathematical Society	0192-5857
serial	Abstracts of Photographic Science and Engineering Literature 1962-1972	0001-3633		1962-03	1	1-2	1972-12	11	12			pub_abstracts-of-photographic-science-and-engineering	fulltext		Society of Imaging Science and	0001-3633
serial	Abstracts of Working Papers in Economics 1991-1995	0951-0079		1991-01	7	1	1995-01	12	4			pub_abstracts-of-working-papers-in-economics	fulltext		Cambridge University Press	0951-0079
serial	Abstracts of World Medicine 1947-1971	0301-3898		1947-01	1	1	1971-12	45	12			pub_abstracts-of-world-medicine	fulltext		BMJ Publishing Group	0301-3898
serial	Abstracts on Hygiene and Communicable Diseases 1976-1989	0260-5511		1922-03		Supplement 1	1989-12	64	12			pub_abstracts-on-hygiene-and-communicable-diseases	fulltext		CAB International	0260-5511
serial	ABU News	0127-4902		1971-02		70	1976-03		121			pub_abu-news	fulltext		Asia-Pacific Broadcasting Union	0127-4902
serial	Abundant Life Magazine 1975-1979	0731-7948		1975-01	29	1	1979-12	33	12			pub_abundant-life-magazine	fulltext		Oral Roberts Association, Inc.	0731-7948
serial	Academe 1915-2014	0190-2946		1915-12	1	1	2014-11	100	6			pub_academe	fulltext		American Association of University Professors	0190-2946
serial	Academe 1967-1978	0001-3749		1967-01	1	1	1978-12	12	4			pub_academe-1967	fulltext		American Association of University Professors	0001-3749
serial	Academic Emergency Medicine 1994-2007	1069-6563		1994-01	1	1	2007-12	14	12			pub_academic-emergency-medicine	fulltext		Wiley Subscription Services, Inc.	1069-6563
serial	Academic Medicine 1926-2013	1040-2446		1926-07	1	1	2013-12	88	12			pub_academic-medicine	fulltext		Lippincott Williams & Wilkins	1040-2446
serial	Academic Psychiatry 1977-2010	1042-9670		1977-03	1	1	2010-11	34	6			pub_academic-psychiatry	fulltext		American Psychiatric Publishing, Inc.	1042-9670
serial	Academic Questions 1987-2005	0895-4852		1986-12	1	1	2006-09	19	4			pub_academic-questions	fulltext		Springer Science & Business Media	0895-4852
serial	Academie des Sciences. Comptes Rendus. Biologies	1631-0691		1966-01	262	1	1983-12	297	13			pub_academie-des-sciences-comptes-rendus-biologies	fulltext		Elsevier Masson	1631-0691
serial	Academie des Sciences. Comptes Rendus. Mathematique	1631-073X		1966-01	262	1	1996-10		17			pub_academie-des-sciences-comptes-rendus-mathematique	fulltext		Academie des Sciences	1631-073X
serial	Academy of Management. Best Papers Proceedings 1948-1997	0896-7911		1948-12			1997-08					pub_academy-of-management-best-papers-proceedings	fulltext		Academy of Management	0896-7911
serial	Academy of Management Journal 1958-2016	0001-4273		1958-04	1	1	2014-12	57	6			pub_academy-of-management-journal	fulltext		Academy of Management	0001-4273
serial	The Academy of Management Perspectives 1987-2012	1558-9080		1987-02	1	1	2012-11	26	4			pub_academy-of-management-perspectives	fulltext		Academy of Management	1558-9080
serial	Academy of Management. The Academy of Management Review 1976-2015	0363-7425		1995-01	20	1	2014-10	39	4			pub_academy-of-management-review	fulltext		Academy of Management	0363-7425
serial	Academy of Marketing Science. Journal 1973-2014	0092-0703		1973-03	1	1	2012-11	40	6			pub_academy-of-marketing-science-journal	fulltext		Springer Science & Business Media	0092-0703
serial	Academy of Political Science. Proceedings of the Academy of Political Science 1910-1992	0065-0684		1910-01	1		1991-01	38	2			pub_academy-of-political-science-proceedings	fulltext		Academy of Political Science	0065-0684
serial	Acarologia	0044-586X		1959-01	1	1	1999-01	40	3			pub_acarologia	fulltext		Acarologia	0044-586X
serial	Accademia delle Scienze Fisiche e Matematiche. Rendiconto	0370-3568		1931-01	1	1-4	1969-01	36				pub_accademia-delle-scienze-fisiche-e-matematiche-rendiconto	fulltext		Giannini Editore	0370-3568
serial	Accademie e Biblioteche d'Italia 1927-2009	0001-4451		1927-07	1	1	2009-01	NS4	1-4			pub_accademie-e-biblioteche-ditalia	fulltext		Arti Grafiche Fratelli Palomei	0001-4451
serial	Accent 1976-1996	0192-7507		1976-01		1	1996-12	21	12			pub_accent	fulltext		Larkin Group	0192-7507
serial	Accent : a quarterly of new literature	1050-6276		1946-09	7	1	1949-12	9	2			pub_accent-1940	fulltext		Dept. of English of the University of Illinois	1050-6276
serial	Accent on Living 1956-2002	0001-4508		1956-06	1	1	2001-06	46	1			pub_accent-on-living	fulltext		Cheever Publishing Inc.	0001-4508
serial	Access 1975-1985	0149-9262		1975-01		1	1985-06		182			pub_access	fulltext		Telecommunications Research	0149-9262
serial	Access Control & Security Systems 1958-1980	1084-6425		1958-07	1	1	1980-12	23	13			pub_access-control-security-systems	fulltext		Penton Business Media, Inc.	1084-6425
serial	Accident Analysis and Prevention 1969-2010	0001-4575		1969-07	1	1	2008-11	40	6			pub_accident-analysis-and-prevention	fulltext		ELSEVIER LTD.	0001-4575
serial	Accountancy 1928-2013	0001-4664		1923-10	35		2013-12	151	1444			pub_accountancy	fulltext		The Financial Times Limited	0001-4664
serial	Accountancy Age 1975-1989	0001-4672		1975-01	6	1	1989-12					pub_accountancy-age	fulltext		Contentive	0001-4672
serial	Accountancy Ireland 1975-2003	0001-4699		1975-02	7	1	2003-12	35	6			pub_accountancy-ireland	fulltext		Institute of Chartered Accountants In Ireland	0001-4699
serial	Accountant 1975-2010	0001-4710		1975-01	172	5218	2010-12		5085			pub_accountant	fulltext		Lafferty Ltd.	0001-4710
serial	The Accountants Digest 1973-1988	0001-4737		1956-09	22	1	1988-09	54	1			pub_accountants-digest	fulltext		Florida Atlantic University	0001-4737
serial	Accounting and Business Research 1970-2012	0001-4788		1970-01	1	1	2012-01	42	5			pub_accounting-and-business-research	fulltext		Taylor & Francis Ltd.	0001-4788
serial	Accounting and Finance 1986-2014	0810-5391		1986-05	26	1	2014-12	54	4			pub_accounting-and-finance	fulltext		Blackwell Publishing Ltd.	0810-5391
serial	Accounting Forum 1974-1985	0001-4818		1974-05	44	1-2	1985-12	55				pub_accounting-forum	fulltext		City University of New York	0001-4818
serial	The Accounting Historians Journal 1991-2008	0148-4184		1991-06	18	1	2008-12	35	2			pub_accounting-historians-journal	fulltext		Academy of Accounting Historians	0148-4184
serial	Accounting Horizons 1987-2013	0888-7993		1987-03	1	1	2012-12	27	4			pub_accounting-horizons	fulltext		American Accounting Association	0888-7993
serial	Accounting Office Management & Administration Report 2005-2006	0749-2928		2005-01		05-1	2006-12		06-12			pub_accounting-office-management-administration-report	fulltext		Institute of Management & Administration	0749-2928
serial	Accounting, Organizations and Society 1976-2011	0361-3682		1976-01	1		2011-11	36	8			pub_accounting-organizations-and-society	fulltext		Pergamon Press Inc.	0361-3682
serial	The Accounting Review 1926-2015	0001-4826		1926-03	1	1	2015-11	90	6			pub_accounting-review	fulltext		American Accounting Association	0001-4826
serial	Accounting & Tax Index	1063-0287		1974-01		Supplement 33	1985-01	2	M-Z			pub_accounting-tax-index	fulltext		ProQuest	1063-0287
serial	Accounting Technology 1987-2009	1068-6452		1986-07	3	1	2009-06	25	5			pub_accounting-technology	fulltext		SourceMedia	1068-6452
serial	Accounting Today 1991-2011	1044-5714		1991-01	5	1	2011-12	25	12			pub_accounting-today	fulltext		SourceMedia	1044-5714
serial	Accounts of Chemical Research 2008-2010	0001-4842		2008-01	41	1	2010-12	43	12			pub_accounts-of-chemical-research	fulltext		AMERICAN CHEMICAL SOCIETY	0001-4842
serial	Accreditation and Quality Assurance 1998-2003	0949-1775		1998-01	3	1	2003-12	8	12			pub_accreditation-and-quality-assurance	fulltext		Springer Science & Business Media	0949-1775
serial	Siderurgia Latinoamericana 1971-1980	0379-7759		1971-05	12	133	1980-12		248			pub_acero-latinoamericano	fulltext		Instituto Latinamericano del Fierro	0379-7759
serial	ACH - Models in Chemistry	1217-8969		1955-01	7		1967-01	54	3-4			pub_ach-models-in-chemistry	fulltext		Akademiai Kiado Rt.	1217-8969
serial	Achievement 1975-1995	0001-4907		1975-01	42	1	1995-12	62	4			pub_achievement	fulltext			0001-4907
serial	ACHPER Australia Healthy Lifestyles Journal 1975-2008	1445-8918		1975-03		67	2008-01	55	4			pub_achper-australia-healthy-lifestyles-journal	fulltext		Australian Council for Health Physical	1445-8918
serial	ACI Materials Journal 1987-2014	0889-325X		1987-01	84	1	2014-11	111	6			pub_aci-materials-journal	fulltext		American Concrete Institute	0889-325X
serial	ACI Structural Journal 1987-2014	0889-3241		1987-01	84	1	2014-11	111	6			pub_aci-structural-journal	fulltext		American Concrete Institute	0889-3241
serial	ACIAR Annual Report	0810-8315		1994-01			2006-01					pub_aciar-annual-report	fulltext		Australian Centre for International Agricultural Research	0810-8315
serial	ACIAR Partners Magazine	1031-1009		1994-05		7	2020-01		3			pub_aciar-partners-magazine	fulltext		Australian Centre for International Agricultural Research	1031-1009
serial	ACIAR Technical Reports Series	0816-7923		1987-01	5		2012-01		80			pub_aciar-technical-reports-series	fulltext		Australian Centre for International Agricultural Research	0816-7923
serial	ACLS Newsletter 1949-1995	1041-5963		1949-05	1	1	1997-02	4	2			pub_acls-newsletter	fulltext		Amer Council of Learned Societies	1041-5963
serial	The American Civil Liberties Union, Record and Publications, Update	0197-8195		1974-01			1978-01					pub_aclu-record-and-publications-update	fulltext		Microfilming Corporation of America	0197-8195
serial	Association for Computing Machinery: Computing Surveys 1969-2007	0360-0300		1969-03	1	1	2007-12	39	4			pub_acm-computing-surveys	fulltext		Association for Computing Machinery	0360-0300
serial	ACM Transactions on Computer Systems 1986-2007	0734-2071		1986-02	4	1	2007-12	25	4			pub_acm-transactions-on-computer-systems	fulltext		Association for Computing Machinery	0734-2071
serial	Association for Computing Machinery: Transactions on Database Systems 1978-2007	0362-5915		1978-03	3	1	2007-11	32	4			pub_acm-transactions-on-database-systems	fulltext		Association for Computing Machinery	0362-5915
serial	ACM Transactions on Graphics 1986-2007	0730-0301		1986-01	5	1	2007-07	26	3			pub_acm-transactions-on-graphics	fulltext		Association for Computing Machinery	0730-0301
serial	ACM Transactions on Information Systems 1986-2007	1046-8188		1986-01	4	1	2007-08	25	4			pub_acm-transactions-on-information-systems	fulltext		Association for Computing Machinery	1046-8188
serial	Association for Computing Machinery: Transactions on Mathematical Software 1978-2006	0098-3500		1978-03	4	1	2006-12	32	4			pub_acm-transactions-on-mathematical-software	fulltext		Association for Computing Machinery	0098-3500
serial	ACM Transactions on Programming Languages and Systems 1986-2007	0164-0925		1986-01	8	1	2007-11	29	6			pub_acm-transactions-on-programming-languages-and-systems	fulltext		Association for Computing Machinery	0164-0925
serial	ACN: Asian Chemical News 2003	1356-5389		2003-11	10	422	2004-11	10	469			pub_acn-asian-chemical-news	fulltext		Reed Business Information UK	1356-5389
serial	Acoustical Physics	1063-7710		1961-01	7	1	1976-11	22	6			pub_acoustical-physics	fulltext		M A I K Nauka - Interperiodica	1063-7710
serial	ACP Journal Club 1998-2008	1056-8751		1998-01	128	1	2008-03	148	2			pub_acp-journal-club	fulltext		American College of Physicians	1056-8751
serial	The Acquisitions Librarian 2005-2007	0896-3576		2005-01		33-34	2007-01	19	1-2			pub_acquisitions-librarian	fulltext		Haworth Press, Inc.	0896-3576
serial	Acrida	0300-4686		1974-01	3	1	1981-01	10	4			pub_acrida	fulltext		Association d'Acridologie	0300-4686
serial	ACS Symposium Series	0097-6156		1991-01		453	1991-01		453			pub_acs-symposium-series	fulltext		American Chemical Society	0097-6156
serial	ACSM Bulletin 1989-1994	0747-9417		1989-02		118	1994-11		152			pub_acsm-bulletin	fulltext		American Congress on Surveying and	0747-9417
serial	Acta Acustica united with Acustica	1610-1928		1951-01	1	1	1977-01	36	5			pub_acta-acustica-united-with-acustica	fulltext		S. Hirzel Verlag	1861-9959
serial	Acta Agrobotanica	0065-0951		1954-01	2		1965-01	17				pub_acta-agrobotanica	fulltext		Polskie Towarzystwo Botaniczne	0065-0951
serial	Acta Agronomica	0120-2812		2006-01	55	1	2008-01	57	1			pub_acta-agronomica	fulltext		Universidad Nacional de Colombia 01_serials-process.sh 1039816.IAILL.20220526.mrc 1039816.IAILL.20220526_all.mrc 1039816.IAILL.20220612.mrc 5gaps.txt ALL_20211205.jsonl ALL_20220116.jsonl ALL_20220128.jsonl ALL_20220217.jsonl ALL_20220221.jsonl ALL_20220301.jsonl ALL_20220307.jsonl ALL_20220320.jsonl ALL_20220418.jsonl ALL_20220510.jsonl ALL_20220516.jsonl ALL_20220526.jsonl ALL_20220612.jsonl ALL_20230727.jsonl ALL_20230824.jsonl ALL_20231115.jsonl ALL_20231115.jsonl.bak ALL_20240507.jsonl ALL_20240712.jsonl ALL_20250122.jsonl ALL_20250731.jsonl BOSTON_SCAN.tmp.jsonl GTU-OCLCs.tsv IA_Serials_20220510_test0001.mrc IA_Serials_20220510_test0002.mrc IA_Serials_20220516_test0001.mrc InternetArchive_Global_Serials_20230727.txt InternetArchive_Global_Serials_20230824.txt InternetArchive_Global_Serials_20231115.txt InternetArchive_Global_Serials_20231115.txt.bak InternetArchive_Global_Serials_20240507.txt InternetArchive_Global_Serials_20240712.txt InternetArchive_Global_Serials_20250122.txt InternetArchive_Serials_20211205.txt InternetArchive_Serials_20220116.txt InternetArchive_Serials_20220128.txt InternetArchive_Serials_20220217.txt InternetArchive_Serials_20220221.txt InternetArchive_Serials_20220301.txt InternetArchive_Serials_20220307.txt InternetArchive_Serials_20220320.txt InternetArchive_Serials_20220418.txt InternetArchive_Serials_20220510.txt InternetArchive_Serials_20220516.txt InternetArchive_Serials_20220526.txt InternetArchive_Serials_20220612.txt InternetArchive_Serials_KBART_20240712.zip InternetArchive_Serials_KBART_20250122.zip OCLC-record-matching-map.tsv OCN-already-present.tsv UHM-OCLCs-Sheet1.tsv allOCNs_20220127.tsv batch-check.sh check-these.tsv check-these_CHECKED_001.tsv check607.log check707.log check807.log check907.log count-identifers.sh exclude.lst gapcheck.py generate-serial-input.sh get-issues.sh homeideas.lst issn-wo-ocn.lst issn-wo-ocn.tsv last-issue-pre1950.tsv last-ocn-notmatch.tsv lhrgen.py multis-to-check.lst nogapcheck.log nogapcheck2.log nohup.out ocn-check.py ocn-remove-remaining.tsv ocn-to-remove.tsv serials_20211205.jsonl serials_20220116.jsonl serials_20220127_ORIG.jsonl serials_20220128.jsonl serials_20220217.jsonl serials_20220221.jsonl serials_20220301.jsonl serials_20220307.jsonl serials_20220320.jsonl serials_20220418.jsonl serials_20220510.jsonl serials_20220516.jsonl serials_20220526.jsonl serials_20220612.jsonl serials_20230727.jsonl serials_20230824.jsonl serials_20231115.jsonl serials_20240507.jsonl serials_20240712.jsonl serials_20250122.jsonl serials_20250731.jsonl setOCN.py test.tsv to-clean.lst wcat work Facultad de Ciencias Agropecuarias Palmira	0120-2812
serial	Acta Amazonica 1971-1995	0044-5967		1971-01	1	SUPPLEMENT	1995-09	25	3-4			pub_acta-amazonica	fulltext		Inst Nacional De Pesquis Da Amazonia	0044-5967
serial	Acta Antiqua Academiae Scientiarum Hungaricae	0044-5975		1969-01	17	1-2	1979-01	27	4			pub_acta-antiqua-academiae-scientiarum-hungaricae	fulltext		Akademiai Kiado Rt.	0044-5975
serial	Acta Apostolicae Sedis 1909-2014	0001-5199		1909-01	1	1	2014-12	106	12			pub_acta-apostolicae-sedis	fulltext		Libreria Editrice Vaticana	0001-5199
serial	Acta Archaeologica Academiae Scientiarum Hungaricae	0001-5210		1827-01	61	none	1985-01	37	3-4			pub_acta-archaeologica-academiae-scientiarum-hungaricae	fulltext		Akademiai Kiado Rt.	0001-5210
serial	Acta Astronautica 1974-1994	0094-5765		1974-01	1		1994-12	32	12			pub_acta-astronautica	fulltext		ELSEVIER LTD.	0094-5765
serial	Acta Biochimica Polonica	0001-527X		1971-01	18	1	1984-01	31	4			pub_acta-biochimica-polonica	fulltext		Polskie Towarzystwo Biochemiczne	0001-527X
serial	Acta Biologica Venezuelica 1975-1978	0001-5326		1975-09	9	1	1978-10	9	4			pub_acta-biologica-venezuelica	fulltext		Universidad Central de Venezuela	0001-5326
serial	Acta Biotheoretica ACBI	0001-5342		1980-01	29	1	1993-12	41	4			pub_acta-biotheoretica-acbi	fulltext		Springer	0001-5342
serial	Acta Botanica Brasilica	0102-3306		2007-04	21	2	2009-10	23	4			pub_acta-botanica-brasilica	fulltext		Sociedade Botanica do Brasil	0102-3306
